relative_path	subject	session	run	filename	is_movie	is_phase	TaskName	SeriesDescription	ProtocolName	RepetitionTime	NumberOfVolumes	AcquisitionTime	AcquisitionDuration	SeriesNumber	ManufacturersModelName	error
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-04_part-phase_bold.json	sub-047	ses-01	run-04	sub-047_ses-01_task-fmri_run-04_part-phase_bold.json	FALSE	TRUE	fmri	fMRI4_AP	fMRI4_AP	0.937				20	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-movie_run-06_part-phase_bold.json	sub-047	ses-01	run-06	sub-047_ses-01_task-movie_run-06_part-phase_bold.json	TRUE	TRUE	movie	Movie3_AP	Movie3_AP	0.937				36	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_bold.json	sub-047	ses-01	run-03	sub-047_ses-01_task-fmri_run-03_bold.json	FALSE	FALSE	fmri	fMRI4_AP	fMRI4_AP	0.937				19	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-01_bold.json	sub-047	ses-01	run-01	sub-047_ses-01_task-fmri_run-01_bold.json	FALSE	FALSE	fmri	fMRI3_AP	fMRI3_AP	0.937				15	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-movie_run-08_part-phase_bold.json	sub-047	ses-01	run-08	sub-047_ses-01_task-movie_run-08_part-phase_bold.json	TRUE	TRUE	movie	Movie4_AP	Movie4_AP	0.937				40	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-07_bold.json	sub-047	ses-01	run-07	sub-047_ses-01_task-fmri_run-07_bold.json	FALSE	FALSE	fmri	fMRI2_AP	fMRI2_AP	0.937				7	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-05_bold.json	sub-047	ses-01	run-05	sub-047_ses-01_task-fmri_run-05_bold.json	FALSE	FALSE	fmri	fMRI1_AP	fMRI1_AP	0.937				3	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-control_run-03_bold.json	sub-047	ses-01	run-03	sub-047_ses-01_task-control_run-03_bold.json	FALSE	FALSE	control	Control2_AP	Control2_AP	0.937				51	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-movie_run-05_bold.json	sub-047	ses-01	run-05	sub-047_ses-01_task-movie_run-05_bold.json	TRUE	FALSE	movie	Movie3_AP	Movie3_AP	0.937				35	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-control_run-04_part-phase_bold.json	sub-047	ses-01	run-04	sub-047_ses-01_task-control_run-04_part-phase_bold.json	FALSE	TRUE	control	Control2_AP	Control2_AP	0.937				52	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-movie_run-02_part-phase_bold.json	sub-047	ses-01	run-02	sub-047_ses-01_task-movie_run-02_part-phase_bold.json	TRUE	TRUE	movie	Movie1_AP	Movie1_AP	0.937				28	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-control_run-01_bold.json	sub-047	ses-01	run-01	sub-047_ses-01_task-control_run-01_bold.json	FALSE	FALSE	control	Control1_PA	Control1_PA	0.937				12	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-movie_run-07_bold.json	sub-047	ses-01	run-07	sub-047_ses-01_task-movie_run-07_bold.json	TRUE	FALSE	movie	Movie4_AP	Movie4_AP	0.937				39	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-control_run-02_part-phase_bold.json	sub-047	ses-01	run-02	sub-047_ses-01_task-control_run-02_part-phase_bold.json	FALSE	TRUE	control	Control1_PA	Control1_PA	0.937				13	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-movie_run-04_part-phase_bold.json	sub-047	ses-01	run-04	sub-047_ses-01_task-movie_run-04_part-phase_bold.json	TRUE	TRUE	movie	Movie2_AP	Movie2_AP	0.937				32	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-movie_run-01_bold.json	sub-047	ses-01	run-01	sub-047_ses-01_task-movie_run-01_bold.json	TRUE	FALSE	movie	Movie1_AP	Movie1_AP	0.937				27	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-rest_run-01_bold.json	sub-047	ses-01	run-01	sub-047_ses-01_task-rest_run-01_bold.json	FALSE	FALSE	rest	REST1_AP	REST1_AP	0.937				43	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-06_part-phase_bold.json	sub-047	ses-01	run-06	sub-047_ses-01_task-fmri_run-06_part-phase_bold.json	FALSE	TRUE	fmri	fMRI1_AP	fMRI1_AP	0.937				4	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-movie_run-03_bold.json	sub-047	ses-01	run-03	sub-047_ses-01_task-movie_run-03_bold.json	TRUE	FALSE	movie	Movie2_AP	Movie2_AP	0.937				31	Prisma	
<BIDS>/sub-047/ses-01/func/sub-047_ses-01_task-control_run-05_bold.json	sub-047	ses-01	run-05	sub-047_ses-01_task-control_run-05_bold.json	FALSE	FALSE	control	Control3_PA	Control3_PA	0.937				55	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-movie_run-01_bold.json	sub-047	ses-02	run-01	sub-047_ses-02_task-movie_run-01_bold.json	TRUE	FALSE	movie	Movie1_AP	Movie1_AP	0.937				27	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-movie_run-03_bold.json	sub-047	ses-02	run-03	sub-047_ses-02_task-movie_run-03_bold.json	TRUE	FALSE	movie	Movie2_AP	Movie2_AP	0.937				31	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-movie_run-08_part-phase_bold.json	sub-047	ses-02	run-08	sub-047_ses-02_task-movie_run-08_part-phase_bold.json	TRUE	TRUE	movie	Movie4_AP	Movie4_AP	0.937				40	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-movie_run-05_bold.json	sub-047	ses-02	run-05	sub-047_ses-02_task-movie_run-05_bold.json	TRUE	FALSE	movie	Movie3_AP	Movie3_AP	0.937				35	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-control_run-06_part-phase_bold.json	sub-047	ses-02	run-06	sub-047_ses-02_task-control_run-06_part-phase_bold.json	FALSE	TRUE	control	Control3_PA	Control3_PA	0.937				56	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-movie_run-07_bold.json	sub-047	ses-02	run-07	sub-047_ses-02_task-movie_run-07_bold.json	TRUE	FALSE	movie	Movie4_AP	Movie4_AP	0.937				39	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-fmri_run-06_part-phase_bold.json	sub-047	ses-02	run-06	sub-047_ses-02_task-fmri_run-06_part-phase_bold.json	FALSE	TRUE	fmri	fMRI1_AP	fMRI1_AP	0.937				4	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-control_run-05_bold.json	sub-047	ses-02	run-05	sub-047_ses-02_task-control_run-05_bold.json	FALSE	FALSE	control	Control3_PA	Control3_PA	0.937				55	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-movie_run-02_part-phase_bold.json	sub-047	ses-02	run-02	sub-047_ses-02_task-movie_run-02_part-phase_bold.json	TRUE	TRUE	movie	Movie1_AP	Movie1_AP	0.937				28	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-movie_run-04_part-phase_bold.json	sub-047	ses-02	run-04	sub-047_ses-02_task-movie_run-04_part-phase_bold.json	TRUE	TRUE	movie	Movie2_AP	Movie2_AP	0.937				32	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-control_run-03_bold.json	sub-047	ses-02	run-03	sub-047_ses-02_task-control_run-03_bold.json	FALSE	FALSE	control	Control2_AP	Control2_AP	0.937				51	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-control_run-01_bold.json	sub-047	ses-02	run-01	sub-047_ses-02_task-control_run-01_bold.json	FALSE	FALSE	control	Control1_PA	Control1_PA	0.937				12	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-control_run-02_part-phase_bold.json	sub-047	ses-02	run-02	sub-047_ses-02_task-control_run-02_part-phase_bold.json	FALSE	TRUE	control	Control1_PA	Control1_PA	0.937				13	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-rest_run-01_bold.json	sub-047	ses-02	run-01	sub-047_ses-02_task-rest_run-01_bold.json	FALSE	FALSE	rest	REST1_AP	REST1_AP	0.937				43	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-control_run-04_part-phase_bold.json	sub-047	ses-02	run-04	sub-047_ses-02_task-control_run-04_part-phase_bold.json	FALSE	TRUE	control	Control2_AP	Control2_AP	0.937				52	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-fmri_run-08_part-phase_bold.json	sub-047	ses-02	run-08	sub-047_ses-02_task-fmri_run-08_part-phase_bold.json	FALSE	TRUE	fmri	fMRI2_AP	fMRI2_AP	0.937				8	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-fmri_run-04_part-phase_bold.json	sub-047	ses-02	run-04	sub-047_ses-02_task-fmri_run-04_part-phase_bold.json	FALSE	TRUE	fmri	fMRI4_AP	fMRI4_AP	0.937				20	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-fmri_run-03_bold.json	sub-047	ses-02	run-03	sub-047_ses-02_task-fmri_run-03_bold.json	FALSE	FALSE	fmri	fMRI4_AP	fMRI4_AP	0.937				19	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-rest_run-02_part-phase_bold.json	sub-047	ses-02	run-02	sub-047_ses-02_task-rest_run-02_part-phase_bold.json	FALSE	TRUE	rest	REST1_AP	REST1_AP	0.937				44	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-fmri_run-01_bold.json	sub-047	ses-02	run-01	sub-047_ses-02_task-fmri_run-01_bold.json	FALSE	FALSE	fmri	fMRI3_AP	fMRI3_AP	0.937				15	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-fmri_run-07_bold.json	sub-047	ses-02	run-07	sub-047_ses-02_task-fmri_run-07_bold.json	FALSE	FALSE	fmri	fMRI2_AP	fMRI2_AP	0.937				7	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-fmri_run-02_part-phase_bold.json	sub-047	ses-02	run-02	sub-047_ses-02_task-fmri_run-02_part-phase_bold.json	FALSE	TRUE	fmri	fMRI3_AP	fMRI3_AP	0.937				16	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-movie_run-06_part-phase_bold.json	sub-047	ses-02	run-06	sub-047_ses-02_task-movie_run-06_part-phase_bold.json	TRUE	TRUE	movie	Movie3_AP	Movie3_AP	0.937				36	Prisma	
<BIDS>/sub-047/ses-02/func/sub-047_ses-02_task-fmri_run-05_bold.json	sub-047	ses-02	run-05	sub-047_ses-02_task-fmri_run-05_bold.json	FALSE	FALSE	fmri	fMRI1_AP	fMRI1_AP	0.937				3	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-movie_run-08_part-phase_bold.json	sub-082	ses-01	run-08	sub-082_ses-01_task-movie_run-08_part-phase_bold.json	TRUE	TRUE	movie	Movie3_AP	Movie3_AP	0.937				40	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-fmri_run-06_part-phase_bold.json	sub-082	ses-01	run-06	sub-082_ses-01_task-fmri_run-06_part-phase_bold.json	FALSE	TRUE	fmri	fMRI1_AP	fMRI1_AP	0.937				4	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-control_run-04_part-phase_bold.json	sub-082	ses-01	run-04	sub-082_ses-01_task-control_run-04_part-phase_bold.json	FALSE	TRUE	control	Control2_AP	Control2_AP	0.937				56	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-movie_run-02_part-phase_bold.json	sub-082	ses-01	run-02	sub-082_ses-01_task-movie_run-02_part-phase_bold.json	TRUE	TRUE	movie	Movie1_AP	Movie1_AP	0.937				28	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-movie_run-04_part-phase_bold.json	sub-082	ses-01	run-04	sub-082_ses-01_task-movie_run-04_part-phase_bold.json	TRUE	TRUE	movie	Movie2_AP	Movie2_AP	0.937				32	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-control_run-02_part-phase_bold.json	sub-082	ses-01	run-02	sub-082_ses-01_task-control_run-02_part-phase_bold.json	FALSE	TRUE	control	Control1_PA	Control1_PA	0.937				13	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-movie_run-10_part-phase_bold.json	sub-082	ses-01	run-10	sub-082_ses-01_task-movie_run-10_part-phase_bold.json	TRUE	TRUE	movie	Movie4_AP	Movie4_AP	0.937				44	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-movie_run-09_bold.json	sub-082	ses-01	run-09	sub-082_ses-01_task-movie_run-09_bold.json	TRUE	FALSE	movie	Movie4_AP	Movie4_AP	0.937				43	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-rest_run-01_bold.json	sub-082	ses-01	run-01	sub-082_ses-01_task-rest_run-01_bold.json	FALSE	FALSE	rest	REST1_AP	REST1_AP	0.937				47	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-fmri_run-02_part-phase_bold.json	sub-082	ses-01	run-02	sub-082_ses-01_task-fmri_run-02_part-phase_bold.json	FALSE	TRUE	fmri	fMRI3_AP	fMRI3_AP	0.937				16	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-fmri_run-04_part-phase_bold.json	sub-082	ses-01	run-04	sub-082_ses-01_task-fmri_run-04_part-phase_bold.json	FALSE	TRUE	fmri	fMRI4_AP	fMRI4_AP	0.937				20	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-rest_run-02_part-phase_bold.json	sub-082	ses-01	run-02	sub-082_ses-01_task-rest_run-02_part-phase_bold.json	FALSE	TRUE	rest	REST1_AP	REST1_AP	0.937				48	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-fmri_run-07_bold.json	sub-082	ses-01	run-07	sub-082_ses-01_task-fmri_run-07_bold.json	FALSE	FALSE	fmri	fMRI2_AP	fMRI2_AP	0.937				7	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-movie_run-01_bold.json	sub-082	ses-01	run-01	sub-082_ses-01_task-movie_run-01_bold.json	TRUE	FALSE	movie	Movie1_AP	Movie1_AP	0.937				27	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-control_run-01_bold.json	sub-082	ses-01	run-01	sub-082_ses-01_task-control_run-01_bold.json	FALSE	FALSE	control	Control1_PA	Control1_PA	0.937				12	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-control_run-06_part-phase_bold.json	sub-082	ses-01	run-06	sub-082_ses-01_task-control_run-06_part-phase_bold.json	FALSE	TRUE	control	Control3_PA	Control3_PA	0.937				60	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-fmri_run-05_bold.json	sub-082	ses-01	run-05	sub-082_ses-01_task-fmri_run-05_bold.json	FALSE	FALSE	fmri	fMRI1_AP	fMRI1_AP	0.937				3	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-fmri_run-08_part-phase_bold.json	sub-082	ses-01	run-08	sub-082_ses-01_task-fmri_run-08_part-phase_bold.json	FALSE	TRUE	fmri	fMRI2_AP	fMRI2_AP	0.937				8	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-control_run-03_bold.json	sub-082	ses-01	run-03	sub-082_ses-01_task-control_run-03_bold.json	FALSE	FALSE	control	Control2_AP	Control2_AP	0.937				55	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-movie_run-03_bold.json	sub-082	ses-01	run-03	sub-082_ses-01_task-movie_run-03_bold.json	TRUE	FALSE	movie	Movie2_AP	Movie2_AP	0.937				31	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-control_run-05_bold.json	sub-082	ses-01	run-05	sub-082_ses-01_task-control_run-05_bold.json	FALSE	FALSE	control	Control3_PA	Control3_PA	0.937				59	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-movie_run-05_bold.json	sub-082	ses-01	run-05	sub-082_ses-01_task-movie_run-05_bold.json	TRUE	FALSE	movie	Movie3_AP	Movie3_AP	0.937				36	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-fmri_run-03_bold.json	sub-082	ses-01	run-03	sub-082_ses-01_task-fmri_run-03_bold.json	FALSE	FALSE	fmri	fMRI4_AP	fMRI4_AP	0.937				19	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-movie_run-07_bold.json	sub-082	ses-01	run-07	sub-082_ses-01_task-movie_run-07_bold.json	TRUE	FALSE	movie	Movie3_AP	Movie3_AP	0.937				39	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-fmri_run-01_bold.json	sub-082	ses-01	run-01	sub-082_ses-01_task-fmri_run-01_bold.json	FALSE	FALSE	fmri	fMRI3_AP	fMRI3_AP	0.937				15	Prisma	
<BIDS>/sub-082/ses-01/func/sub-082_ses-01_task-movie_run-06_part-phase_bold.json	sub-082	ses-01	run-06	sub-082_ses-01_task-movie_run-06_part-phase_bold.json	TRUE	TRUE	movie	Movie3_AP	Movie3_AP	0.937				37	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-movie_run-08_part-phase_bold.json	sub-066	ses-01	run-08	sub-066_ses-01_task-movie_run-08_part-phase_bold.json	TRUE	TRUE	movie	Movie4_AP	Movie4_AP	0.937				40	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-movie_run-05_bold.json	sub-066	ses-01	run-05	sub-066_ses-01_task-movie_run-05_bold.json	TRUE	FALSE	movie	Movie3_AP	Movie3_AP	0.937				35	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-control_run-03_bold.json	sub-066	ses-01	run-03	sub-066_ses-01_task-control_run-03_bold.json	FALSE	FALSE	control	Control2_AP	Control2_AP	0.937				51	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-movie_run-07_bold.json	sub-066	ses-01	run-07	sub-066_ses-01_task-movie_run-07_bold.json	TRUE	FALSE	movie	Movie4_AP	Movie4_AP	0.937				39	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-control_run-01_bold.json	sub-066	ses-01	run-01	sub-066_ses-01_task-control_run-01_bold.json	FALSE	FALSE	control	Control1_PA	Control1_PA	0.937				12	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-movie_run-01_bold.json	sub-066	ses-01	run-01	sub-066_ses-01_task-movie_run-01_bold.json	TRUE	FALSE	movie	Movie1_AP	Movie1_AP	0.937				27	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-fmri_run-06_part-phase_bold.json	sub-066	ses-01	run-06	sub-066_ses-01_task-fmri_run-06_part-phase_bold.json	FALSE	TRUE	fmri	fMRI1_AP	fMRI1_AP	0.937				4	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-control_run-05_bold.json	sub-066	ses-01	run-05	sub-066_ses-01_task-control_run-05_bold.json	FALSE	FALSE	control	Control3_PA	Control3_PA	0.937				55	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-movie_run-03_bold.json	sub-066	ses-01	run-03	sub-066_ses-01_task-movie_run-03_bold.json	TRUE	FALSE	movie	Movie2_AP	Movie2_AP	0.937				31	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-movie_run-02_part-phase_bold.json	sub-066	ses-01	run-02	sub-066_ses-01_task-movie_run-02_part-phase_bold.json	TRUE	TRUE	movie	Movie1_AP	Movie1_AP	0.937				28	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-movie_run-04_part-phase_bold.json	sub-066	ses-01	run-04	sub-066_ses-01_task-movie_run-04_part-phase_bold.json	TRUE	TRUE	movie	Movie2_AP	Movie2_AP	0.937				32	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-control_run-06_part-phase_bold.json	sub-066	ses-01	run-06	sub-066_ses-01_task-control_run-06_part-phase_bold.json	FALSE	TRUE	control	Control3_PA	Control3_PA	0.937				56	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-fmri_run-01_bold.json	sub-066	ses-01	run-01	sub-066_ses-01_task-fmri_run-01_bold.json	FALSE	FALSE	fmri	fMRI3_AP	fMRI3_AP	0.937				15	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-fmri_run-03_bold.json	sub-066	ses-01	run-03	sub-066_ses-01_task-fmri_run-03_bold.json	FALSE	FALSE	fmri	fMRI4_AP	fMRI4_AP	0.937				19	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-fmri_run-02_part-phase_bold.json	sub-066	ses-01	run-02	sub-066_ses-01_task-fmri_run-02_part-phase_bold.json	FALSE	TRUE	fmri	fMRI3_AP	fMRI3_AP	0.937				16	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-fmri_run-05_bold.json	sub-066	ses-01	run-05	sub-066_ses-01_task-fmri_run-05_bold.json	FALSE	FALSE	fmri	fMRI1_AP	fMRI1_AP	0.937				3	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-fmri_run-04_part-phase_bold.json	sub-066	ses-01	run-04	sub-066_ses-01_task-fmri_run-04_part-phase_bold.json	FALSE	TRUE	fmri	fMRI4_AP	fMRI4_AP	0.937				20	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-rest_run-02_part-phase_bold.json	sub-066	ses-01	run-02	sub-066_ses-01_task-rest_run-02_part-phase_bold.json	FALSE	TRUE	rest	REST1_AP	REST1_AP	0.937				44	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-fmri_run-07_bold.json	sub-066	ses-01	run-07	sub-066_ses-01_task-fmri_run-07_bold.json	FALSE	FALSE	fmri	fMRI2_AP	fMRI2_AP	0.937				7	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-control_run-02_part-phase_bold.json	sub-066	ses-01	run-02	sub-066_ses-01_task-control_run-02_part-phase_bold.json	FALSE	TRUE	control	Control1_PA	Control1_PA	0.937				13	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-fmri_run-08_part-phase_bold.json	sub-066	ses-01	run-08	sub-066_ses-01_task-fmri_run-08_part-phase_bold.json	FALSE	TRUE	fmri	fMRI2_AP	fMRI2_AP	0.937				8	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-control_run-04_part-phase_bold.json	sub-066	ses-01	run-04	sub-066_ses-01_task-control_run-04_part-phase_bold.json	FALSE	TRUE	control	Control2_AP	Control2_AP	0.937				52	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-movie_run-06_part-phase_bold.json	sub-066	ses-01	run-06	sub-066_ses-01_task-movie_run-06_part-phase_bold.json	TRUE	TRUE	movie	Movie3_AP	Movie3_AP	0.937				36	Prisma	
<BIDS>/sub-066/ses-01/func/sub-066_ses-01_task-rest_run-01_bold.json	sub-066	ses-01	run-01	sub-066_ses-01_task-rest_run-01_bold.json	FALSE	FALSE	rest	REST1_AP	REST1_AP	0.937				43	Prisma	
<BIDS>/sub-066/ses-02/func/sub-066_ses-02_task-control_run-02_part-phase_bold.json	sub-066	ses-02	run-02	sub-066_ses-02_task-control_run-02_part-phase_bold.json	FALSE	TRUE	control	Control1_PA	Control1_PA	0.937				13	Prisma	
<BIDS>/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-06_part-phase_bold.json	sub-066	ses-02	run-06	sub-066_ses-02_task-fmri_run-06_part-phase_bold.json	FALSE	TRUE	fmri	fMRI1_AP	fMRI1_AP	0.937				4	Prisma	
<BIDS>/sub-066/ses-02/func/sub-066_ses-02_task-movie_run-08_part-phase_bold.json	sub-066	ses-02	run-08	sub-066_ses-02_task-movie_run-08_part-phase_bold.json	TRUE	TRUE	movie	Movie4_AP	Movie4_AP	0.937				40	Prisma	
<BIDS>/sub-066/ses-02/func/sub-066_ses-02_task-rest_run-01_bold.json	sub-066	ses-02	run-01	sub-066_ses-02_task-rest_run-01_bold.json	FALSE	FALSE	rest	REST1_AP	REST1_AP	0.937				43	Prisma	
<BIDS>/sub-066/ses-02/func/sub-066_ses-02_task-control_run-04_part-phase_bold.json	sub-066	ses-02	run-04	sub-066_ses-02_task-control_run-04_part-phase_bold.json	FALSE	TRUE	control	Control2_AP	Control2_AP	0.937				52	Prisma	
<BIDS>/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-01_bold.json	sub-066	ses-02	run-01	sub-066_ses-02_task-fmri_run-01_bold.json	FALSE	FALSE	fmri	fMRI3_AP	fMRI3_AP	0.937				15	Prisma	
<BIDS>/sub-066/ses-02/func/sub-066_ses-02_task-movie_run-04_part-phase_bold.json	sub-066	ses-02	run-04	sub-066_ses-02_task-movie_run-04_part-phase_bold.json	TRUE	TRUE	movie	Movie2_AP	Movie2_AP	0.937				32	Prisma	
<BIDS>/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-03_bold.json	sub-066	ses-02	run-03	sub-066_ses-02_task-fmri_run-03_bold.json	FALSE	FALSE	fmri	fMRI4_AP	fMRI4_AP	0.937				19	Prisma	
<BIDS>/sub-066/ses-02/func/sub-066_ses-02_task-movie_run-02_part-phase_bold.json	sub-066	ses-02	run-02	sub-066_ses-02_task-movie_run-02_part-phase_bold.json	TRUE	TRUE	movie	Movie1_AP	Movie1_AP	0.937				28	Prisma	
<BIDS>/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-05_bold.json	sub-066	ses-02	run-05	sub-066_ses-02_task-fmri_run-05_bold.json	FALSE	FALSE	fmri	fMRI1_AP	fMRI1_AP	0.937				3	Prisma	
<BIDS>/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-07_bold.json	sub-066	ses-02	run-07	sub-066_ses-02_task-fmri_run-07_bold.json	FALSE	FALSE	fmri	fMRI2_AP	fMRI2_AP	0.937				7	Prisma	
<BIDS>/sub-066/ses-02/func/sub-066_ses-02_task-rest_run-02_part-phase_bold.json	sub-066	ses-02	run-02	sub-066_ses-02_task-rest_run-02_part-phase_bold.json	FALSE	TRUE	rest	REST1_AP	REST1_AP	0.937				44	Prisma	
<BIDS>/sub-066/ses-02/func/sub-066_ses-02_task-movie_run-05_bold.json	sub-066	ses-02	run-05	sub-066_ses-02_task-movie_run-05_bold.json	TRUE	FALSE	movie	Movie3_AP	Movie3_AP	0.937				35	Prisma	
<BIDS>/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-04_part-phase_bold.json	sub-066	ses-02	run-04	sub-066_ses-02_task-fmri_run-04_part-phase_bold.json	FALSE	TRUE	fmri	fMRI4_AP	fMRI4_AP	0.937				20	Prisma	
<BIDS>/sub-066/ses-02/func/sub-066_ses-02_task-movie_run-07_bold.json	sub-066	ses-02	run-07	sub-066_ses-02_task-movie_run-07_bold.json	TRUE	FALSE	movie	Movie4_AP	Movie4_AP	0.937				39	Prisma	
